file,locs,locs_1,taxa,chemicals,quantities
0.1371_journal.pone.0077737.pdf,"Townsville, Queensland, Australia, United States of America, Bellwood DR, Bellwood O, Vanderklift MA, Bellwood","the Great Barrier Reef, southern hemisphere, Lizard Island, Great Barrier, Great Barrier Reef, Coral Reef, Coral Reefs, The Gray Zone, Cleveland Bay, Coral, the Great Barrier",NA,NA,"2-4 m, 800 m, 1 m2, 25 cm, 4 cm, 8.6 kg m-2, approximately 40 m, 5.8 × 10-3, 8.6 kg, 15 mm, depth, ,, mm, tens of meters"
09596830094971.pdf,"UK, Newcastle-upon-Tyne, Grange-over-Sands, Cumbria, LA11 6JU, the United Kingdom, Britain, England, East Kilbride, Great Britain, GB, Heerbrugg, Switzerland, Wales, N England, Houghton, R.A., Immirzi, Maltby, Clymo, London, Tokioka, J.T., Cambridge, Canada, Melillo, J.M., Prentice, I.C., Farquhar, D., Schulze, O.E., Sala, O.E, Meira Filho, L.G., Callander, B.A, Bakewell, Finland, Rhodes, A.N., Harlock, Appleby, P.G., Battarbee, R.W., Ireland, R.S., Gore, Rowell , T.A., Amsterdam, Peterborough, Berlin, Aberdeen, Oldfield, F., Pearson, Ratnesar, Richardson, T.C., Perkins, D.F.","Pennine, Hard Hill, Pennine hills, Moor House, the North York Moors, the North York Moor, Peak District, Pennines","human, sheep, Rubus chamaemorus, C vulgaris, red grouse, Calluna vulgaris","carbon, (, carbon dioxide, CO2, Carbon, aluminium, hydrogen peroxide, charcoal, coal, 14C","c . 1.6 Gt C, Altitude ( m ), 600 – 630, C, mm, 1 – 2 m, 4 ° C, one centimetre, One-centimetre, 20 – 40 g, 105 ° C, 10 cm, 21 cm, 8 – 12 cm, 1 km2, 4 cm, 1 cm, 0.2 g, 250 cm3, 20 cm3, 50 ° C, 9 cm, Another 20 cm3, 6 – 10 cm, 10 – 50 ␮ m, ␮, 1.5 cm, 5.4 ⫾ 0.6 kg m ⫺ 2, 4.6 ⫾ 0.4 kg m ⫺ 2, sheep, 0.6 kg C, 0.4 kg C, 1 m, 2 m, 250 ␮ m, 500 ␮ m, ␮ m, ⫾ 0.4 kg m ⫺ 2, ⫾ 0.6 kg m ⫺ 2, 73 g"
1-s2.0-003807179500092S-main.pdf,"Great Britain, North Wyke, Okehampton, Devon, England, U.K., Cheshire, Halstow, Dartmoor, Bromsgrove, Australia, London, Wiley, Chichester, US, Washington, St. Louis, Lodman, Canterbury, Tiedje J . M., Sexstone A . J., Parkin T . B., Revsbech N . P.",SW England,"cattle, sheep, cows, cow, low-N grass, Sheep","METHANE, methane, CH4, chlorofortn, CH, carbon, CH., He, polyethylene, chloroform, Methane, C-to-N, Chloroform, nitrogen, O2, nickel, oxygen, carbon dioxide","95 kg, 13 ml, 1 ml, 50 x 15 x 20 cm, 2.5 cm, 2 cm, 750 cm, 1 kg, 10 ml, 0.5 m, 450 ml, 0.075 ml, 15 x 15 x 15 cm, 15 x 15 x 10 cm, 1125 cm2, 170 g, 9 cm dia, 60 cm2, 16 / 17 ” C, 447 mg, mg, 716-2040 mg, 98 1 mg, 73.6 mg, 0.075 m2, 2577 mg, 1839 mg, 6 ° C, the 0.075 and, 0.05 m2, 657 mg, 30 kg, 0.22 kg, 105 kg, 76 ha, 24,016 kg"
1-s2.0-0038071795001867-main.pdf,"Great Britain, U.K, North Wyke, Okehampton, Devon, U.K., Edgbaston, New York, Madison, London, Bilthoven, Dordrecht, Tsukuba, Tokyo., Woodmansee","Devon, North Wyke, Dartmoor",NA,NA,"207 mg, 197 mg, 0.2 mg, 148 mg, up to _ 1590 pg, 1050 mm, 9S ” C, 4.3 ” C, 15.3 ” C, 1430 h, 1.6 h, 6.4 h, 220 g, 37 ml, 16 ° C, 1.2 kg, 200 ml, 40 cm, 30 cm, 20 cm, 5 cm, 20 ml, 60 ml, 3 m, 120 kg, 2.0 m x l / 8 ”), 40 ml, 0.5 ml, 8O ” C, 17 x, 16 x 10 cm, 25 mm, O-5 cm, 5-10 cm, 10-20 cm, 105 ° C, I kg, ° C, 5 ° C, 1 kg, 9.2 g N20-N kg, O-6 mg, 160 mg, 2 mg, 16-19 mg, 2 kg, 53 to 1583 g, 0.50-1.50 kg"
1-s2.0-026974919500009G-main.pdf,"Great Britain, Okehampton, Devon, UK, Burwell, Cambs., Loughborough, Leics, Tonbridge, Kent, High Wycombe, Bucks., Cambridge, Weybridge, Surrey, Basingstoke, Hants., North Wyke, England, London, Kyoto, Wageningen, Chichester, Denmead , O. T., Tokyo, London., US, Washington , DC, United Kingdom, Moe, Tyrell, F., Canterbury",4,"sheep, ryegrass, Lolium perenne, cattle, ewes, lambs, cows","METHANE, o n C H 4, methane, CH4, C H 4, Methane, (, CO2, CH, CH 4, aluminium, helium, N2, O2, Nylon, ammonia, carbon dioxide","14 g, 5.1 kg, 540 Tg, approximately 80 Tg, 4.27 m, 9.91 m, 2.06 m, 66 m 3, about 0.5 m, between m, 0.4 m, m 3, 2 mm, 5.5 m, 50 ° C, 34.0 ml, two, 0.2 s, 2.0 ml, 8.0 litre, 4 mm, 0.25 m 3 s, 0.5 m × 0.5 m, 100 ° C, 30 ° C, 44.5 kg., 0.5 m, 290 g m, 350 g m 2., 0.25 m, 260 g m 2, 0.25 m 3, 0.5 m 3 s, 300 g m 2, 0.0 mV, + 0.0005 mV, 2-0 ml, 5.034 + 0.0008 mV, 1.941 + 0.00037 vpm, SEaifr, +, 0-00053 vpm, 2-38 vpm, to 22.1 vpm, 1.35 g, 2-93 g, 14 - 19 g, 20 ° C, 1-0 g C H 4, 1.5 litre, 1.0 g h ~, 3 h, 14.0 g, 10-5 kg, 28.8 g, to 24.5 g, 104 kt, 167 kt"
1-s2.0-S001670611200119X-main.pdf,"USA, Ireland, Teagasc-Moorpark, Fermoy, BV, The Netherlands, Darmdtadt, Germany, Vantaa, Finland, Kalra, UK, Moorepark, Teagasc, . Cork, Varian, Beauchamp, E.G., Bouwman, A.F., Chichester, New York, Cantarel, Bloor, J.M.G., Deltroy, N., Saossana, J.F., Carter, M.S., Shen , S., Van Cleemput, O., Swan, Smith, K.A., Eckard, R.J., C.A.M., Van Logtestijn, R.S.P., Sherlock, R.R., Cameron, K.C., Weerden, T.J., New Zealand, Great Britain, Firestone ,, M.K., Davidson ,, E.A., Schimel ,, D.S., New, Skiba, Amstel, Dasselaar, Stahr, Bøckman, O.C., Rosso, Bardin, Greenberg, J., Oxford, Jianjun , Q., Ligang, Li, Dublin, Carton, Cambridge, Y., Van, Beusichem, Oenema, Saggar, Giltrap, D.L., Tate, K.R., Scanlon, T.M., Kiely, G., Merino, Estavillo, J.M., Rodriguez, Dunabeitia, Gonalez, M.C., E.L., Madison, Wisconsin, Spain, Sheppard, L.J., Scotland, L.C., Catto, W.D., Southland, New Zealand ., Tarakanov, Sowers, Rice, C.W., Tiedje, O'Donovan, Delaby, L., Stakelum, Dillon, P., N.Y, Velthof, G.L., Netherlands, Yamakawa, Naganawa","South West, South, Europe, South East, the Basque Country",NA,NA,",, 1.81 ±, kg, 0.6 kg, ~ 200 μg, 122 kg, 34.5 kg, 1, 75 kg, 25 kg, 197 kg, 5 cm, 8 cm, 10, 10 m, 30 g, 0.1 mm, 52 ° 07 N, 08 ° 16 W, 52 m a.s.l, 1040 mm, 2.65 g cm − 3, ~ 9 ° C, 0 to 4.5 m, 2.0 to 3.0 m, 0.89 g cm − 3, 0.028 m 3, 45 cm, 28.2 cm, 262 mm, 10 cm, 4 m, 12 ml, 22 ° C, 10 ° C, >, 6 ° C, 300 ° C, ±, 750 μl, 684.11 ± 247.16 μg, 11 ° C, 9 ° C, −, 1 685.44 ± 31.13 g, 1.81 ± 1.1, 1.51 ± 0.9 kg, ha − 1, ., 0.59 ± 0.25 to, 14.84 ± 1.4 mg, 16.80 ± 1.36 mg, ± 2.6, 0.09 mg, between 17 and 22 ° C, 24 mm, 212 mm, 212mm, 262mm, 2.0 to 11.0 kg, 6.5 kg, 3.32 ± 1.0 kg, 5 ° C to 17 ° C, 1 – 2 cm, 20 ° C, 18 ° C, ~ 16 ° C, ~ 18 ° C, 1.81 ± 0.7 kg, 1.51 ± 0.6 kg"
1-s2.0-S0038071703002992-main.pdf,"Lancaster, LA1 4YQ, UK, Britain, New Zealand, Creag Meagaidh, Scotland, Meagaidh, Richards, J.H., Busso, C.A., Augustine, D.J., McNaughton, S.J., Bardgett, Leemans, D.K., Cook, R., Hobbs, P., Wardle, Yeates, G.W., R.D., Jones, A.C., D.L., Kemmitt, R.L., Fyles, J.W., Chaneton, E.J., Lemcoff, Lavado, R.S., Argentina, Clarholm, M., Clarholm , M., Hester, Kirb, K.J., Cabiodo, Vendramini, Aberdeen, Naiman, R.J., McInnes, P.F., Cohen, Y., Turner, C.L., Seastedt, T.R., Piggot, C.D., Ramsey, Ritchie, M.E., Tilman, D., Knops, J.M.H., Rosswall, Rodwell, J.S., London, Stockholm, Groffman, P.M., Rossow, L.J., Bryant, J.P., Keilland, K., D.A., Inouye, Huntly, N., Minshall, Anderson, J.E., Hendrick, Gardiner, A.S., Feltham, West, A.W., Singleton, Hamilton, E.W., Frank, Ruohoma, A.J., Grimingham, C.H., Miles, J., Brookes, P.C., Jenkinson, D.S., Holland, Detling, J.K., Verchot, L.V., Crossley, Laine, Voroney, R.P., Beyaert, Boca Raton, FL, Bonner, K.I., Ghani, A., Zuniga, Banyikwa, F.F., G.M., Tappeiner, U., Young, W.F., England","the Scottish Highlands, Creag Meagaidh, Creag Meagaidh NNR, Scottish Highlands, Highlands, National Park, the, North-East Yorkshire, Isle Royale, Yellowstone National Park, Scots Pine, Serengeti, the European, Alps","red deer, sheep, downy birch, Betula pubescens, Quercus petraea, rowan, Sorbus aucuparia, Betula papyrifera, birch, Alaskan taiga, mountain birch","nitrogen, NO2, NH4, Nitrogen, carbon, nutrients, CHCl3, K2SO4, K2S2O8, NO2 3 - N, NH4 - N, CO2, (, KCl, ammonium, DON, NHþ 2 4 - N, NO3 - N, arcsine, DOC, NHþ 2 4, NO, potassium persulphate, nitrate, Nitrate, Ammonia, se, Ammonium, Nitrate Ammonium, :, phosphorus","3940 ha, 8C, around 1252 mm, below 5 km22, 35 mm, 1 m2, 5 g, 10 m £, 10 m, 25 8C, 5 mm, 0.5 M, 4 8C, 20 cm, 10 m £ 10 m, 1 g, 28 ml, One millilitre, 118 K.A, 25 ml, 70 ml, 10 g, 2559 ml, 221 ml"
1-s2.0-S0038071704003761-main.pdf,"Germany, New Haven, CT, USA, Ahr-Eifel, Groot Bruinderink, Hazeb, Adenau, Rhineland-Palatinate, Cologne, Gabet, E.J., Hazebroek, E., Netherlands, Williams, P.H., Hubbard, V.C., Berry, E.C., Ritz, K., Dighton, J, Chichester, Jarvis, S.C., Kittlein, Busch, Trettin, C.C., Rheinland-Pfalz, W., Putman, R.J., Domsch, K.H., Scha, Bratton, S.P., Blume, H.P., Hamburg, Clebsch, E.E.C., Eldridge, D.J., Myers, C.A., Skambracks, Zimmer, M., Ford, Grace, J.B., Steubing, Ulmer, Stuttgart, Vallentine, J.F., San Diego, Brookes, P.C., Jenkinson, D.S., Willot, S.J., Miller, A.J., Incoll, L.D., Compton, S.G., Wardle, D.A., Spain, Whitford, W.G., Kay, F.R.","Eifel, Ahr-Eifel, Europe, South America, Central Europe, the Great Smoky Mountains","Wild boar, red deer, wild boar, Sus scrofa, Cervus elaphus, Red deer, Quercus petraea, European wild boar, boar roek, roe deer, Fagus sylvatica, Rubus fructiosus, Ctenomys talarum, Trichoniscus pusillus, Oniscus asellus, Philoscia muscorum, rabbit warrens, Walckenaeria incisa, Trochosa terricola, Robertus lividus, Coelotes inermis, changes scrofa, pig, rabbit, Oryctolagus cuniculus, rabbits, . scrofa","carbon, nitrogen, potassium, magnesium, KCl, CO2, Carbon, phosphate-ions, Ammoniumnitrate, /, Ca2C, Mg2C, phosphate-P, calcium, phosphate, Mg, Mg ( 0.13 ) OCa ( 0.12 ) OP ( 0.04 ), sodium, Ca, (, water","15 cm, 25 ! 25 m, hectare, w1 m2, 10 cm, 60 km, 600 to 800 mm, between 6 and 9 8C, 100 ha, 25 m, 10 m, about 450 m, 5 cm, . 5 cm, 2 m, 2 mm, 1 M, 550 8C, 20 8C, 300 cm2, 12.7 g"
1-s2.0-S0038071710004396-main.pdf,"Menai Bridge, Anglesey, UK, Bangor, Gwynedd, Esporles, Mallorca, Spain, Holland, England, Britain, Hitchin, Cambridge, Kyoto, Japan, Milton Keynes, Boekhof, Berendse, F., Bardgett, R.D., Wardle, D.A., Yeates, G.W., Mapfumo, Naeth, Okine, Chanasyk, D.S., Bazely, D.R., Jeffries, R.L., Oberholzer, Scheu, S., Slade, J.B., Gloaguen, Lefeuvre, J. - C., Buckridge, K.M., Jefferies, Brotas , V., Portugal, Chmura, G.L., Ainsfeld, S.C., Cahoon, Lynch, J.C., Myrold, D.D., Beauchamp, E.G., Reynolds, W.D., Boca Raton, Florida, Detling, J.K., Hollibaugh, J.T., Groffman, P.M., Evans, Tracy, B.F., Kuns, Guido, Kremling, K., Wienheim, Germany, Takahashi, Hamilton, E.W., Frank, L.A., Herbert, R.A., Irmler, U., Farrar, J.F., Bouma, T.J., Van Wijnen, H.J., ington , DC, Peterson, B.J., Van Wieren, Howarth, R.W., Teal, J.M., Rusch, Oesterheld, M., Gland, Switzerland, Angus, Edwards, H., K.A., Revsbech, N.P., Bockholt, R., Zhao, Horn, Inner Mongolia, PR China, T.A., Martin, J., New England, Loiseau, Louault, Tiedje, Madison, Milchunas, Lauenroth, W.K., Yeomans, Killham, Meharg, A.A., Alberta, Vaieretti, M.V., Harguindeguy, Gurvich, D.E., Cingolani, A.M., Cabido, Argentina, Cole, M.L., Naiman, R.J., McInnes, Cohen, Y., Dordrecht, The Netherlands, Walsh, R.E., Wedin, Bonis, A., Bouzillé, J. - B., Wilson , D.J., Jefferies , R.L.","Ribble, Chanasyk, Arctic, Tagus, Yellowstone National Park, Yellowstone Park, Pampas, Yellowstone",NA,NA,"53, 410 000 N, 2, 580 000 W, around 10,000 ha, 7.9 m, 2000 ha, 515 ha, approximately 10 m, 10 m, 10 cm, 100e150 m, 20 and 50 m, 0.0 0.6, 0.2, 1, 0, 0.3, 2.5 cm, 20, C, 11 cm, 6 cm, 5 cm, 80, Approximately 5 g, 25 g, 60 ml, 550, A further 30 g, 12.5 ml, 1 m, 25 cm, 50 cm, 250 mm, 5 g, 30 ml, 25 ml, 0.5 M, 70 ml, 40, 40 ml, 2 M, 30 g, 250 ml, 9 mg, 1.5 mg, 400, 138 kPa, 160 kPa, 0.632 ml, 12.3 kBq g, 1 mm, 50 mg, 8 ml, 85, 5 ml, 95, 5000 g, 50 mM, 5 mM, 10 mM, 2 mM, 8.4 Bq mmol, 0e10 cm, 2 cm, 100 mg, 0.02 kBq, 0.5 ml, 0.03 kBq, 1 ml, 1 M, the top 10 cm, 4e5 cm, 8.37 kg, 0.47 kg, 0.22 kg, 0.59 kg, 0.46, 0.11 kg, kg, 14.10 kg, 0.1, 0.05 kg, 0.03  0.01 kg N, 0.12 kg N, 0.76, 0.13 kg N, 0.03e0.46 kg N, 0.19e3.31 mmol N, 4 cm, 8.5 cm, 1.3 h"
1-s2.0-S0038071797001454-main.pdf,"Great Britain, North Wyke, Okehampton, Devon, U.K, U.K., England, Belgium, New Zealand, Netherlands, Germany, The Netherlands, Wallingford, Rowden, Harpenden, London, Dordrecht, Tsukuba, Washington, San Diego, Wageningen, Reading","Burrows Field, North Wyke","cattle, cows, ryegrass, grass, kale, animal, cow, wheat","N2O, N2OÐN, Nitrous oxide, nitri, denitri, ozone, inorganic-N, nitrogen, NH, NOÿ 3, NO3, PTFE-silicon, N2, KCl, mineral-N, NH + 4 ± N, ap - N2O, NOÿ, NOÿ3, NH + 4, ammonia, N2O-N, excreta-N, NH3, NOÿ 2, NH4NO3, carbon, ±, NO, nitrous oxide, methane, Nitrogen, CH4, nitric oxide, oxide, denitrogen, nitric, Nitrogen Oxide, Halomethanes","290 mg, 192 mg, the 250 kt, 1.2 kg, 200 ml, 20 cm dia ., approximately 70 cm, 38 WSW, 500 kg, 16 kg, 6 g N, 1.5 g N, 20 cm, 40 cm, 2 cm, 1400 g, 180 g, 1200 g, 5 cm, about 40 m2, 40 ml, 20 ml, 1.0 m, 3mm, 2, 3.mm, 1.25 mg, 290281.1 mg, 40 d, 25 mm, 290 281.1 mg, 10 cm, 5 ± 10 cm, 50 g, 100 ml, 0 ± 5 cm, - 39 cm, 4.6 mg, approximately 100 m, 1.6 mg, between 10 and 30 cm, 124 d, 192 262.5 mg, 25 mg N, 33 mg N, 25, 20 mg N, 12, 26 mg, more than 25 mg, only 100 d, 4.9 mm, 32 mm, 22.9 mm, < 20 mg, 9.9 mg, mg, 10, 2 kg, 7200 kg, up to 608 g, up to 166 g, 5 Mha, 0.002 Tg, 2 kt, 16 kt, g, 127 g, 1850 g, 430 g, 1470 g"
