x1,x2,x3,filename
T0,LIVB 4556 4578,Calluneto-Eriophoretum,09596830094971.ann
T1,LIVB 16723 16731,Sphagnum,09596830094971.ann
T2,LIVB 17316 17330,Sphagnum peats,09596830094971.ann
T3,LIVB 22204 22209,sheep,09596830094971.ann
T4,LIVB 22997 23002,sheep,09596830094971.ann
T5,LIVB 23348 23365,Rubus chamaemorus,09596830094971.ann
T6,LIVB 23718 23725,heather,09596830094971.ann
T7,LIVB 23727 23743,Calluna vulgaris,09596830094971.ann
T8,LIVB 23888 23895,heather,09596830094971.ann
T9,LIVB 23909 23914,sheep,09596830094971.ann
T10,LIVB 27510 27524,Eriophorum sp.,09596830094971.ann
T11,LIVB 27530 27546,Calluna vulgaris,09596830094971.ann
T12,LIVB 29050 29055,sheep,09596830094971.ann
T13,LIVB 29209 29214,sheep,09596830094971.ann
T14,LIVB 33155 33170,heather burning,09596830094971.ann
T15,LIVB 33816 33824,Sphagnum,09596830094971.ann
T16,LIVB 34702 34724,Calluna-Eriophorum bog,09596830094971.ann
T17,LIVB 35524 35527,ﬁre,09596830094971.ann
T18,LIVB 35550 35570,Sphagnum-domi- nated,09596830094971.ann
T19,LIVB 36199 36210,Meira Filho,09596830094971.ann
T20,LIVB 38382 38402,Rubus chamaemorus L.,09596830094971.ann
T21,LIVB 38406 38429,Calluna- Eriophorum bog,09596830094971.ann
T0,LIVB 10572 10587,Grazing  calves,1-s2.0-003807179500092S-main.ann
T1,LIVB 10589 10605,Grazing  heifers,1-s2.0-003807179500092S-main.ann
T2,LIVB 10608 10617,Grazing  ,1-s2.0-003807179500092S-main.ann
T3,LIVB 10631 10646,Housed  dairy  ,1-s2.0-003807179500092S-main.ann
T4,LIVB 10775 10784,Grasswlov,1-s2.0-003807179500092S-main.ann
T5,LIVB 17264 17269,sheep,1-s2.0-003807179500092S-main.ann
T6,LIVB 19219 19243,Dairy  cow  Calf  Heifer,1-s2.0-003807179500092S-main.ann
T7,LIVB 19331 19341,Dairy  cow,1-s2.0-003807179500092S-main.ann
T8,LIVB 19343 19348,Sheep,1-s2.0-003807179500092S-main.ann
T9,LIVB 19350 19360,Dairy  cow,1-s2.0-003807179500092S-main.ann
T10,LIVB 19370 19382,Suckler  cow,1-s2.0-003807179500092S-main.ann
T11,LIVB 19392 19402,Dairy  cow,1-s2.0-003807179500092S-main.ann
T12,LIVB 36506 36513,Methane,1-s2.0-003807179500092S-main.ann
T0,LIVB 7788 7807,Perennial  ryegrass,1-s2.0-0038071795001867-main.ann
T1,LIVB 7836 7843,white  ,1-s2.0-0038071795001867-main.ann
T2,LIVB 7936 7961,Perennial  clover  sward.,1-s2.0-0038071795001867-main.ann
T3,LIVB 7978 7994,Credi-  ryegrass,1-s2.0-0038071795001867-main.ann
T4,LIVB 8074 8102,Perennial   ryegrass  sward.,1-s2.0-0038071795001867-main.ann
T5,LIVB 8193 8213,Mixed  heather-grass,1-s2.0-0038071795001867-main.ann
T6,LIVB 27797 27807,earthworms,1-s2.0-0038071795001867-main.ann
T7,LIVB 34775 34781,cattle,1-s2.0-0038071795001867-main.ann
T8,LIVB 38775 38784,blueberry,1-s2.0-0038071795001867-main.ann
T9,LIVB 41051 41063,Lantinga  E.,1-s2.0-0038071795001867-main.ann
T0,LIVB 9502 9510,ryegrass,1-s2.0-S001670611200119X-main.ann
T1,LIVB 9512 9526,Lolium perenne,1-s2.0-S001670611200119X-main.ann
T2,LIVB 41187 41197,"Barton, L.",1-s2.0-S001670611200119X-main.ann
T3,LIVB 42088 42097,rye grass,1-s2.0-S001670611200119X-main.ann
T4,LIVB 42100 42117,Lolium perenne L.,1-s2.0-S001670611200119X-main.ann
T5,LIVB 45516 45522,"Hu, L.",1-s2.0-S001670611200119X-main.ann
T6,LIVB 45657 45665,"Hyde, B.",1-s2.0-S001670611200119X-main.ann
T7,LIVB 47502 47512,Dunabeitia,1-s2.0-S001670611200119X-main.ann
T8,LIVB 47934 47946,white clover,1-s2.0-S001670611200119X-main.ann
T9,LIVB 47948 47964,Trifolium repens,1-s2.0-S001670611200119X-main.ann
T10,LIVB 50891 50895,Kusa,1-s2.0-S001670611200119X-main.ann
T11,LIVB 50929 50937,Naganawa,1-s2.0-S001670611200119X-main.ann
T12,LIVB 50943 50951,Inubushi,1-s2.0-S001670611200119X-main.ann
T0,LIVB 12796 12816,Grey Brown Podzolics,1-s2.0-S0016706114001761-main.ann
T1,LIVB 12818 12833,Brown Podzolics,1-s2.0-S0016706114001761-main.ann
T2,LIVB 12835 12847,Brown Earths,1-s2.0-S0016706114001761-main.ann
T3,LIVB 12849 12854,Gleys,1-s2.0-S0016706114001761-main.ann
T4,LIVB 12856 12865,Rendzinas,1-s2.0-S0016706114001761-main.ann
T5,LIVB 12867 12876,Lithosols,1-s2.0-S0016706114001761-main.ann
T6,LIVB 56035 56046,Cambardella,1-s2.0-S0016706114001761-main.ann
T7,LIVB 56316 56330,Redmile-Gordon,1-s2.0-S0016706114001761-main.ann
T8,LIVB 56338 56347,Stellacci,1-s2.0-S0016706114001761-main.ann
